NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Vit_B12_(mcg),Vit_A_IU,Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_D_IU,Vit_K_(mcg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
01001,BUTTER WITH SALT,15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,1,0,0.005,0.034,0.042,0.003,0.17,2499,684,2.32,1.5,60,7,51.368,21.021,3.043,215
01002,BUTTER WHIPPED WITH SALT,15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.16,2,23,26,659,0.05,0.016,0.004,1,0,0.005,0.034,0.042,0.003,0.13,2499,684,2.32,1.5,60,7,50.489,23.426,3.012,219
01003,BUTTER OIL ANHYDROUS,0.24,876,0.28,99.48,0,0,0,0,4,0,0,3,5,2,0.01,0.001,0,0,0,0.001,0.005,0.003,0.001,0.01,3069,840,2.8,1.8,73,8.6,61.924,28.732,3.694,256
01004,CHEESE BLUE,42.41,353,21.4,28.74,5.11,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0.009,14.5,0,0.029,0.382,1.016,0.166,1.22,721,198,0.25,0.5,21,2.4,18.669,7.778,0.8,75
01005,CHEESE BRICK,41.11,371,23.24,29.68,3.18,2.79,0,0.51,674,0.43,24,451,136,560,2.6,0.024,0.012,14.5,0,0.014,0.351,0.118,0.065,1.26,1080,292,0.26,0.5,22,2.5,18.764,8.598,0.784,94
01006,CHEESE BRIE,48.42,334,20.75,27.68,2.7,0.45,0,0.45,184,0.5,20,188,152,629,2.38,0.019,0.034,14.5,0,0.07,0.52,0.38,0.235,1.65,592,174,0.24,0.5,20,2.3,17.41,8.013,0.826,100
01007,CHEESE CAMEMBERT,51.8,300,19.8,24.26,3.68,0.46,0,0.46,388,0.33,20,347,187,842,2.38,0.021,0.038,14.5,0,0.028,0.488,0.63,0.227,1.3,820,241,0.21,0.4,18,2,15.259,7.023,0.724,72
01008,CHEESE CARAWAY,39.28,376,25.18,29.2,3.28,3.06,0,,673,0.64,22,490,93,690,2.94,0.024,0.021,14.5,0,0.031,0.45,0.18,0.074,0.27,1054,271,,,,,18.584,8.275,0.83,93
01009,CHEESE CHEDDAR,37.1,406,24.04,33.82,3.71,1.33,0,0.28,675,0.16,27,473,76,644,3.43,0.056,0.033,28.3,0,0.027,0.434,0.039,0.049,0.88,994,263,0.78,0.6,24,2.9,19.368,8.428,1.433,102
01010,CHEESE CHESHIRE,37.65,387,23.37,30.6,3.6,4.78,0,,643,0.21,21,464,95,700,2.79,0.042,0.012,14.5,0,0.046,0.293,0.08,0.074,0.83,985,233,,,,,19.475,8.671,0.87,103
01011,CHEESE COLBY,38.2,394,23.76,32.11,3.36,2.57,0,0.52,685,0.76,26,457,127,604,3.07,0.042,0.012,14.5,0,0.015,0.375,0.093,0.079,0.83,994,264,0.28,0.6,24,2.7,20.218,9.28,0.953,95
01012,CHEESE COTTAGE CRMD LRG OR SML CURD,79.79,98,11.12,4.3,1.41,3.38,0,2.67,83,0.07,8,159,104,364,0.4,0.029,0.002,9.7,0,0.027,0.163,0.099,0.046,0.43,140,37,0.08,0.1,3,0,1.718,0.778,0.123,17
01013,CHEESE COTTAGE CRMD W/FRUIT,79.64,97,10.69,3.85,1.2,4.61,0.2,2.38,53,0.16,7,113,90,344,0.33,0.04,0.003,7.7,1.4,0.033,0.142,0.15,0.068,0.53,146,38,0.04,0,0,0.4,2.311,1.036,0.124,13
01014,CHEESE COTTAGE NONFAT UNCRMD DRY LRG OR SML CURD,81.01,72,10.34,0.29,1.71,6.66,0,1.85,86,0.15,11,190,137,372,0.47,0.03,0.022,9.4,0,0.023,0.226,0.144,0.016,0.46,8,2,0.01,0,0,0,0.169,0.079,0.003,7
01015,CHEESE COTTAGE LOWFAT 2% MILKFAT,81.24,81,10.45,2.27,1.27,4.76,0,4,111,0.13,9,150,125,308,0.51,0.033,0.015,11.9,0,0.02,0.251,0.103,0.057,0.47,225,68,0.08,0,0,0,1.235,0.516,0.083,12
01016,CHEESE COTTAGE LOWFAT 1% MILKFAT,82.48,72,12.39,1.02,1.39,2.72,0,2.72,61,0.14,5,134,86,406,0.38,0.028,0.003,9,0,0.021,0.165,0.128,0.068,0.63,41,11,0.01,0,0,0.1,0.645,0.291,0.031,4
01017,CHEESE CREAM,54.44,342,5.93,34.24,1.32,4.07,0,3.21,98,0.38,9,106,138,365,0.51,0.019,0.011,2.4,0,0.02,0.125,0.145,0.035,0.25,1343,366,0.29,0.6,25,2.9,19.292,8.62,1.437,110
01018,CHEESE EDAM,41.56,357,24.99,27.8,4.22,1.43,0,1.43,731,0.44,30,536,188,812,3.75,0.036,0.011,14.5,0,0.037,0.389,0.082,0.076,1.54,825,243,0.24,0.5,20,2.3,17.572,8.125,0.665,89
01019,CHEESE FETA,55.22,264,14.21,21.28,5.2,4.09,0,4.09,493,0.65,19,337,62,917,2.88,0.032,0.028,15,0,0.154,0.844,0.991,0.424,1.69,422,125,0.18,0.4,16,1.8,14.946,4.623,0.591,89
01020,CHEESE FONTINA,37.92,389,25.6,31.14,3.79,1.55,0,1.55,550,0.23,14,346,64,800,3.5,0.025,0.014,14.5,0,0.021,0.204,0.15,0.083,1.68,913,261,0.27,0.6,23,2.6,19.196,8.687,1.654,116
01021,CHEESE GJETOST,13.44,466,9.65,29.51,4.75,42.65,0,,400,0.52,70,444,1409,600,1.14,0.08,0.04,14.5,0,0.315,1.382,0.813,0.271,2.42,1113,334,,,,,19.16,7.879,0.938,94
01022,CHEESE GOUDA,41.46,356,24.94,27.44,3.94,2.22,0,2.22,700,0.24,29,546,121,819,3.9,0.036,0.011,14.5,0,0.03,0.334,0.063,0.08,1.54,563,165,0.24,0.5,20,2.3,17.614,7.747,0.657,114
01023,CHEESE GRUYERE,33.19,413,29.81,32.34,4.3,0.36,0,0.36,1011,0.17,36,605,81,714,3.9,0.032,0.017,14.5,0,0.06,0.279,0.106,0.081,1.6,948,271,0.28,0.6,24,2.7,18.913,10.043,1.733,110
01024,CHEESE LIMBURGER,48.42,327,20.05,27.25,3.79,0.49,0,0.49,497,0.13,21,393,128,800,2.1,0.021,0.038,14.5,0,0.08,0.503,0.158,0.086,1.04,1155,340,0.23,0.5,20,2.3,16.746,8.606,0.495,90
01025,CHEESE MONTEREY,41.01,373,24.48,30.28,3.55,0.68,0,0.5,746,0.72,27,444,81,600,3,0.032,0.011,14.5,0,0.015,0.39,0.093,0.079,0.83,769,198,0.26,0.6,22,2.5,19.066,8.751,0.899,89
01026,CHEESE MOZZARELLA WHL MILK,50.01,300,22.17,22.35,3.28,2.19,0,1.03,505,0.44,20,354,76,627,2.92,0.011,0.03,17,0,0.03,0.283,0.104,0.037,2.28,676,179,0.19,0.4,16,2.3,13.152,6.573,0.765,79
01027,CHEESE MOZZARELLA WHL MILK LO MOIST,48.38,318,21.6,24.64,2.91,2.47,0,1.01,575,0.2,21,412,75,710,2.46,0.022,0.009,16.1,0,0.016,0.27,0.094,0.062,0.73,745,197,0.21,0.5,18,2.5,15.561,7.027,0.778,89
01028,CHEESE MOZZARELLA PART SKIM MILK,53.78,254,24.26,15.92,3.27,2.77,0,1.13,782,0.22,23,463,84,619,2.76,0.025,0.01,14.4,0,0.018,0.303,0.105,0.07,0.82,481,127,0.14,0.3,12,1.6,10.114,4.51,0.472,64
01029,CHEESE MOZZARELLA LO MOIST PART-SKIM,45.54,301,24.58,19.72,3.8,6.36,0,2.24,716,0.23,29,537,131,682,3.61,0.034,0.041,26.8,0,0.059,0.348,0.144,0.111,1.82,846,254,0.43,0.4,15,1.3,11.473,5.104,0.861,65
01030,CHEESE MUENSTER,41.77,368,23.41,30.04,3.66,1.12,0,1.12,717,0.41,27,468,134,628,2.81,0.031,0.008,14.5,0,0.013,0.32,0.103,0.056,1.47,1012,298,0.26,0.6,22,2.5,19.113,8.711,0.661,96
01031,CHEESE NEUFCHATEL,63.11,253,9.15,22.78,1.37,3.59,0,3.19,117,0.13,10,138,152,334,0.82,0.027,0.011,3,0,0.022,0.155,0.21,0.041,0.3,841,241,0.4,,,1.7,12.79,5.784,0.97,74
01032,CHEESE PARMESAN GRATED,22.65,420,28.42,27.84,7.18,13.91,0,0.07,853,0.49,34,627,180,1804,4.2,0.04,0.071,34.4,0,0.026,0.358,0.08,0.081,1.4,974,262,0.53,0.5,21,1.7,15.371,7.13,1.386,86
01033,CHEESE PARMESAN HARD,29.16,392,35.75,25.83,6.04,3.22,0,0.8,1184,0.82,44,694,92,1376,2.75,0.032,0.02,22.5,0,0.039,0.332,0.271,0.091,1.2,781,207,0.22,0.5,19,1.7,16.41,7.515,0.569,68
01034,CHEESE PORT DE SALUT,45.45,352,23.78,28.2,2,0.57,0,0.57,650,0.43,24,360,136,534,2.6,0.022,0.011,14.5,0,0.014,0.24,0.06,0.053,1.5,1092,315,0.24,0.5,21,2.4,16.691,9.338,0.729,123
01035,CHEESE PROVOLONE,40.95,351,25.58,26.62,4.71,2.14,0,0.56,756,0.52,28,496,138,876,3.23,0.026,0.01,14.5,0,0.019,0.321,0.156,0.073,1.46,880,236,0.23,0.5,20,2.2,17.078,7.393,0.769,69
01036,CHEESE RICOTTA WHOLE MILK,71.7,174,11.26,12.98,1.02,3.04,0,0.27,207,0.38,11,158,105,84,1.16,0.021,0.006,14.5,0,0.013,0.195,0.104,0.043,0.34,445,120,0.11,0.2,10,1.1,8.295,3.627,0.385,51
01037,CHEESE RICOTTA PART SKIM MILK,74.41,138,11.39,7.91,1.15,5.14,0,0.31,272,0.44,15,183,125,99,1.34,0.034,0.01,16.7,0,0.021,0.185,0.078,0.02,0.29,384,107,0.07,0.1,6,0.7,4.927,2.314,0.26,31
01038,CHEESE ROMANO,30.91,387,31.8,26.94,6.72,3.63,0,0.73,1064,0.77,41,760,86,1433,2.58,0.03,0.02,14.5,0,0.037,0.37,0.077,0.085,1.12,415,96,0.23,0.5,20,2.2,17.115,7.838,0.593,104
01039,CHEESE ROQUEFORT,39.38,369,21.54,30.64,6.44,2,0,,662,0.56,30,392,91,1809,2.08,0.034,0.03,14.5,0,0.04,0.586,0.734,0.124,0.64,1047,294,,,,,19.263,8.474,1.32,90
01040,CHEESE SWISS,37.12,380,26.93,27.8,2.77,5.38,0,1.32,791,0.2,38,567,77,70,4.36,0.043,0.005,18.2,0,0.063,0.296,0.092,0.083,3.34,830,220,0.38,0.5,20,2.5,17.779,7.274,0.972,92
01041,CHEESE TILSIT,42.86,340,24.41,25.98,4.87,1.88,0,,700,0.23,13,500,65,753,3.5,0.026,0.013,14.5,0,0.061,0.359,0.205,0.065,2.1,1045,249,,,,,16.775,7.136,0.721,102
01042,CHEESE PAST PROCESS AMERICAN FORT W/ VITAMIN D,39.61,366,18.13,30.71,6.78,4.78,0,2.26,1045,0.63,26,641,132,1671,2.49,0.046,0.041,20.2,0,0.015,0.234,0.076,0.054,1.5,1131,317,0.8,7.5,301,3.7,18.057,8.236,1.286,100
01043,CHEESE PAST PROCESS PIMENTO,39.08,375,22.13,31.2,5.84,1.73,0.1,0.62,614,0.42,22,744,162,915,2.98,0.033,0.016,14.5,2.3,0.027,0.354,0.078,0.071,0.7,1030,244,0.29,0.5,22,2.9,19.663,8.937,0.988,94
01044,CHEESE PAST PROCESS SWISS,42.31,334,24.73,25.01,5.85,2.1,0,1.23,772,0.61,29,762,216,1370,3.61,0.027,0.014,15.9,0,0.014,0.276,0.038,0.036,1.23,746,198,0.34,0.5,18,2.2,16.045,7.046,0.622,85
01045,CHEESE FD COLD PK AMERICAN,43.12,331,19.66,24.46,4.44,8.32,0,,497,0.84,30,400,363,966,3.01,0.03,0.01,16.2,0,0.03,0.446,0.074,0.141,1.28,705,,,,,,15.355,7.165,0.719,64
01046,CHEESE FD PAST PROCESS AMERICAN VITAMIN D FORT,44,330,16.86,25.63,4.96,8.56,0,5.59,682,0.26,27,438,255,1284,2.31,0.034,0.025,19.6,0,0.035,0.36,0.155,0.102,1.33,761,201,0.63,2.5,102,3.4,15.057,6.846,1.049,98
01047,CHEESE FD PAST PROCESS SWISS,43.67,323,21.92,24.14,5.77,4.5,0,,723,0.6,28,526,284,1552,3.55,0.03,0.01,16.1,0,0.014,0.4,0.104,0.035,2.3,856,237,,,,,15.487,6.801,0.6,82
01048,CHEESE SPRD PAST PROCESS AMERICAN,47.65,290,16.41,21.23,5.98,8.73,0,7.32,562,0.33,29,875,242,1625,2.59,0.033,0.02,11.3,0,0.048,0.431,0.131,0.117,0.4,653,173,0.19,0.4,16,1.8,13.327,6.219,0.624,55
01049,CREAM FLUID HALF AND HALF,80.57,130,2.96,11.5,0.67,4.3,0,4.3,105,0.07,10,95,130,41,0.51,0.01,0.001,1.8,0.9,0.035,0.149,0.078,0.039,0.33,354,97,0.33,0.2,8,1.3,7.158,3.321,0.427,37
01050,CREAM FLUID LT (COFFEE CRM OR TABLE CRM),73.75,195,2.7,19.31,0.58,3.66,0,3.66,96,0.04,9,80,122,40,0.27,0.008,0.001,0.6,0.8,0.032,0.148,0.057,0.032,0.22,656,181,0.55,0.4,14,1.7,12.02,5.577,0.717,66
01052,CREAM FLUID LT WHIPPING,63.5,292,2.17,30.91,0.46,2.96,0,2.96,69,0.03,7,61,97,34,0.25,0.007,0.001,0.5,0.6,0.024,0.125,0.042,0.028,0.2,1013,279,0.88,0.6,23,2.7,19.337,9.093,0.884,111
01053,CREAM FLUID HVY WHIPPING,57.71,345,2.05,37,0.45,2.79,0,2.79,65,0.03,7,62,75,38,0.23,0.006,0.001,0.5,0.6,0.022,0.11,0.039,0.026,0.18,1470,411,1.06,0.7,27,3.2,23.032,10.686,1.374,137
01054,CREAM WHIPPED CRM TOPPING PRESSURIZED,61.33,257,3.2,22.22,0.76,12.49,0,8,101,0.05,11,89,147,8,0.37,0.01,0.001,1.4,0,0.037,0.065,0.07,0.041,0.29,685,188,0.64,0.4,16,1.9,13.831,6.418,0.825,76
01055,CREAM SOUR RED FAT CULTURED,80.14,135,2.94,12,0.66,4.26,0,0.16,104,0.07,10,95,129,89,0.5,0.016,0.003,2.1,0.9,0.035,0.149,0.067,0.016,0.3,372,102,0.34,0.2,9,0.6,7.47,3.466,0.446,39
01056,CREAM SOUR CULTURED,74.46,193,2.07,19.73,0.85,2.88,0,2.88,110,0.17,10,115,141,47,0.38,0.019,0.011,2.6,0.9,0.036,0.172,0.109,0.057,0.28,576,176,0.44,0.4,14,1.8,11.507,5.068,0.84,52
01057,EGGNOG,82.54,88,4.55,4.19,0.67,8.05,0,8.05,130,0.2,19,109,165,54,0.46,0.013,0.005,4.2,1.5,0.034,0.19,0.105,0.05,0.45,206,59,0.21,1.2,49,0.3,2.591,1.302,0.198,59
01058,SOUR DRSNG NON-BUTTERFAT CULTURED FILLED CREAM-TYPE,74.79,178,3.25,16.57,0.71,4.68,0,4.68,113,0.03,10,87,162,48,0.37,0.01,0.002,2.3,0.9,0.038,0.163,0.074,0.017,0.33,10,3,1.34,0,0,4.1,13.272,1.958,0.468,5
01059,MILK FILLED FLUID W/BLEND OF HYDR VEG OILS,87.67,63,3.33,3.46,0.8,4.74,0,,128,0.05,13,97,139,57,0.36,0.01,0.002,2,0.9,0.03,0.123,0.087,0.04,0.34,7,2,,,,,0.768,1.783,0.75,2
01060,MILK FILLED FLUID W/LAURIC ACID OIL,87.73,63,3.33,3.4,0.8,4.74,0,4.74,128,0.05,13,97,139,57,0.36,0.01,0.002,2,0.9,0.03,0.123,0.087,0.04,0.34,7,2,0.13,0,0,0.8,3.101,0.1,0.01,2
01061,CHEESE AMERICAN NONFAT OR FAT FREE,65.47,126,21.05,0,2.95,10.53,0,5.26,789,0,115,316,393,1316,4.11,0.559,,14.6,0,0.412,0.545,5.56,0.567,1.85,189,56,0.27,0.1,5,0.2,0,0,0,26
01067,CREAM SUB LIQ W/HYDR VEG OIL&SOY PROT,77.27,136,1,9.97,0.38,11.38,0,11.38,9,0.03,0,64,191,67,0.02,0,0,1.1,0,0,0,0,0,0,15,1,0.81,0,0,2.5,1.937,7.551,0.027,0
01068,CREAM SUB LIQ W/LAURIC ACID OIL&NA CASEINATE,77.27,136,1,9.97,0.38,11.38,0,,9,0.03,0,64,191,79,0.02,0.025,0.04,1.1,0,0,0,0,0,0,89,4,,,,,9.304,0.106,0.003,0
01069,CREAM SUBSTITUTE POWDERED,2.21,545,4.79,35.48,2.64,54.88,0,54.88,22,1.15,4,422,812,123,0.51,0.115,0.22,0.6,0,0,0.165,0,0,0,33,2,0.59,0,0,8.8,32.525,0.968,0.014,0
01070,DESSERT TOPPING POWDERED,1.47,577,4.9,39.92,1.17,52.54,0,52.54,17,0.03,7,74,166,122,0.08,0.118,0.225,0.6,0,0,0,0,0,0,0,0,1.52,0,0,9.9,36.723,0.6,0.447,0
01071,DESSERT TOPPING PDR 1.5 OZ PREP W/1/2 CUP MILK,65.74,194,3.61,12.72,0.8,17.13,0,17.13,90,0.04,10,86,151,66,0.27,0.012,0.005,4.8,0.7,0.027,0.117,0.06,0.03,0.26,120,34,0.45,0.9,38,2.7,10.684,0.843,0.201,10
01072,DESSERT TOPPING PRESSURIZED,60.37,264,0.98,22.3,0.28,16.07,0,16.07,5,0.02,1,18,19,62,0.01,0.024,0.045,1.5,0,0,0,0,0,0,78,4,0.85,0,0,5.5,18.912,1.927,0.241,0
01073,DESSERT TOPPING SEMI SOLID FRZ,50.21,318,1.25,25.31,0.18,23.05,0,23.05,6,0.12,2,8,18,25,0.03,0.03,0.058,2.1,0,0,0,0,0,0,143,7,0.96,0,0,6.3,21.783,1.616,0.523,0
01074,SOUR CRM IMITN CULTURED,71.15,208,2.4,19.52,0.3,6.63,0,6.63,3,0.39,6,45,161,102,1.18,0.058,0.11,2.5,0,0,0,0,0,0,0,0,0.74,0,0,4.8,17.791,0.588,0.056,0
01076,MILK SUBSTITUTES FLUID W/LAURIC ACID OIL,88.18,61,1.75,3.41,0.5,6.16,0,,33,0.39,6,74,114,78,1.18,0.051,0.097,1.9,0,0.012,0.088,0,0,0,0,0,,,,,3.037,0.176,0.008,0
01077,MILK WHL 3.25% MILKFAT W/ ADDED VITAMIN D,88.13,61,3.15,3.25,0.67,4.8,0,5.05,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,0,0.046,0.169,0.089,0.036,0.45,162,46,0.07,1.3,51,0.3,1.865,0.812,0.195,10
01078,MILK PRODUCER FLUID 3.7% MILKFAT,87.69,64,3.28,3.66,0.72,4.65,0,,119,0.05,13,93,151,49,0.38,0.01,0.004,2,1.5,0.038,0.161,0.084,0.042,0.36,138,33,,,,,2.278,1.057,0.136,14
01079,MILK RED FAT FLUID 2% MILKFAT W/ ADDED VIT A & VITAMIN D,89.21,50,3.3,1.98,0.71,4.8,0,5.06,120,0.02,11,92,140,47,0.48,0.006,0.014,2.5,0.2,0.039,0.185,0.092,0.038,0.53,190,55,0.03,1.2,49,0.2,1.257,0.56,0.073,8
01080,MILK RED FAT FLUID 2% MILKFAT W/ ADDED NFMS  VIT A & VIT D,88.86,51,3.48,1.92,0.77,4.97,0,,128,0.05,14,100,162,52,0.4,0.008,0.002,2.3,1,0.04,0.173,0.09,0.045,0.38,204,56,,1,40,,1.195,0.555,0.071,8
01081,MILK RED FAT FLUID 2% MILKFAT PROT FORT W/ ADDED VIT A & D,87.71,56,3.95,1.98,0.87,5.49,0,5.26,143,0.06,16,112,182,59,0.45,0.008,0.002,2.6,1.1,0.045,0.194,0.101,0.051,0.43,5,0,0.04,1,40,0.1,1.232,0.572,0.074,8
01082,MILK LOWFAT FLUID 1% MILKFAT W/ ADDED VIT A & VITAMIN D,89.92,42,3.37,0.97,0.75,4.99,0,5.2,125,0.03,11,95,150,44,0.42,0.01,0.003,3.3,0,0.02,0.185,0.093,0.037,0.47,196,58,0.01,1.2,48,0.1,0.633,0.277,0.035,5
01083,MILK LOWFAT FLUID 1% MILKFAT W/ ADD NONFAT MILK SOL VIT A/ D,89.81,43,3.48,0.97,0.77,4.97,0,,128,0.05,14,100,162,52,0.4,0.01,0.002,2.3,1,0.04,0.173,0.09,0.045,0.38,204,59,,1,40,,0.604,0.28,0.036,4
01084,MILK LOWFAT FLUID 1% MILKFAT PROT FORT W/ ADDED VIT A & D,88.74,48,3.93,1.17,0.86,5.52,0,,142,0.06,16,111,180,58,0.45,0.01,0.002,2.5,1.2,0.045,0.192,0.1,0.05,0.43,203,61,,1,40,,0.728,0.338,0.043,4
01085,MILK NONFAT FLUID W/ ADDED VIT A & VIT D (FAT FREE OR SKIM),90.84,34,3.37,0.08,0.75,4.96,0,5.09,122,0.03,11,101,156,42,0.42,0.013,0.003,3.1,0,0.045,0.182,0.094,0.037,0.5,204,61,0.01,1.2,47,0,0.056,0.022,0.003,2
01086,MILK NONFAT FLUID W/ ADDED NONFAT MILK SOL VIT A & VIT D,90.38,37,3.57,0.25,0.78,5.02,0,5.02,129,0.05,15,104,171,53,0.41,0.011,0.002,2.2,1,0.041,0.175,0.091,0.046,0.39,214,64,0.01,1.2,49,0,0.162,0.065,0.009,2
01087,MILK NONFAT FLUID PROT FORT W/ ADD VIT A & D (FAT FREE/SKIM),89.36,41,3.96,0.25,0.87,5.56,0,,143,0.06,16,112,182,59,0.45,0.011,0.002,2.4,1.1,0.045,0.194,0.101,0.05,0.43,203,61,,1,40,,0.162,0.065,0.009,2
01088,MILK BTTRMLK FLUID CULTURED LOWFAT,90.13,40,3.31,0.88,0.89,4.79,0,4.79,116,0.05,11,89,151,190,0.42,0.011,0.002,2,1,0.034,0.154,0.058,0.034,0.22,47,14,0.05,0,1,0.1,0.548,0.254,0.033,4
01089,MILK LO NA FLUID,88.2,61,3.1,3.46,0.78,4.46,0,4.46,101,0.05,5,86,253,3,0.38,0.01,0.004,2,0.9,0.02,0.105,0.043,0.034,0.36,105,29,0.08,1.3,51,0.3,2.154,0.999,0.128,14
01090,MILK DRY WHL W/ ADDED VITAMIN D,2.47,496,26.32,26.71,6.08,38.42,0,38.42,912,0.47,85,776,1330,371,3.34,0.08,0.04,16.3,8.6,0.283,1.205,0.646,0.302,3.25,934,258,0.58,10.5,420,2.2,16.742,7.924,0.665,97
01091,MILK DRY NONFAT REG WO/ ADDED VIT A & VITAMIN D,3.16,362,36.16,0.77,7.93,51.98,0,51.98,1257,0.32,110,968,1794,535,4.08,0.041,0.02,27.3,6.8,0.415,1.55,0.951,0.361,4.03,22,6,0,0,0,0.1,0.499,0.201,0.03,20
01092,MILK DRY NONFAT INST W/ ADDED VIT A & VITAMIN D,3.96,358,35.1,0.72,8.03,52.19,0,52.19,1231,0.31,117,985,1705,549,4.41,0.041,0.02,27.3,5.6,0.413,1.744,0.891,0.345,3.99,2365,709,0.01,11,440,0,0.467,0.187,0.028,18
01093,MILK DRY NONFAT CA RED,4.9,354,35.5,0.2,7.6,51.8,0,,280,0.32,60,1011,680,2280,4.03,0.016,0.008,27.3,6.7,0.163,1.642,0.665,0.298,3.98,8,2,,,,,0.124,0.058,0.007,2
01094,MILK BUTTERMILK DRIED,2.97,387,34.3,5.78,7.95,49,0,49,1184,0.3,110,933,1592,517,4.02,0.111,0.023,20.3,5.7,0.392,1.579,0.876,0.338,3.82,175,49,0.1,0.5,20,0.4,3.598,1.669,0.215,69
01095,MILK CND COND SWTND,27.16,321,7.91,8.7,1.83,54.4,0,54.4,284,0.19,26,253,371,127,0.94,0.015,0.006,14.8,2.6,0.09,0.416,0.21,0.051,0.44,267,74,0.16,0.2,6,0.6,5.486,2.427,0.337,34
01096,MILK CND EVAP W/ ADDED VITAMIN D & WO/ ADDED VIT A,74.04,134,6.81,7.56,1.55,10.04,0,10.04,261,0.19,24,203,303,106,0.77,0.016,0.006,2.3,1.9,0.047,0.316,0.194,0.05,0.16,233,65,0.14,2,79,0.5,4.591,2.335,0.245,29
01097,MILK CND EVAP NONFAT W/ ADDED VIT A & VITAMIN D,79.4,78,7.55,0.2,1.5,11.35,0,11.35,290,0.29,27,195,332,115,0.9,0.016,0.006,2.5,1.2,0.045,0.309,0.174,0.055,0.24,394,118,0,2,79,0,0.121,0.062,0.006,4
01102,MILK CHOC FLUID COMM WHL W/ ADDED VIT A & VITAMIN D,82.3,83,3.17,3.39,0.8,10.34,0.8,9.54,112,0.24,13,101,167,60,0.41,0.065,0.077,1.9,0.9,0.037,0.162,0.125,0.04,0.33,98,27,0.07,1.3,51,0.3,2.104,0.99,0.124,12
01103,MILK CHOC FLUID COMM RED FAT,82.17,76,2.99,1.9,0.81,12.13,0.7,9.55,109,0.24,14,102,169,66,0.39,0.075,0.062,3.4,0,0.045,0.183,0.164,0.024,0.33,227,64,0.04,1.2,49,0.2,1.177,0.455,0.089,8
01104,MILK CHOC FLUID COMM LOWFAT W/ ADDED VIT A & VITAMIN D,82.34,71,3.24,1,0.82,12.6,0.5,9.94,116,0.27,13,103,170,61,0.41,0.065,0.077,1.9,0.9,0.038,0.166,0.127,0.041,0.32,196,58,0.02,1.1,43,0.1,0.616,0.3,0.035,3
01105,MILK CHOC BEV HOT COCOA HOMEMADE,82.45,77,3.52,2.34,0.65,10.74,1,9.66,114,0.42,23,105,197,44,0.63,0.103,0.013,2.7,0.2,0.039,0.182,0.133,0.04,0.49,176,51,0.03,1.1,45,0.2,1.431,0.677,0.084,8
01106,MILK GOAT FLUID W/ ADDED VITAMIN D,87.03,69,3.56,4.14,0.82,4.45,0,4.45,134,0.05,14,111,204,50,0.3,0.046,0.018,1.4,1.3,0.048,0.138,0.277,0.046,0.07,198,57,0.07,1.3,51,0.3,2.667,1.109,0.149,11
01107,MILK HUMAN MATURE FLUID,87.5,70,1.03,4.38,0.2,6.89,0,6.89,32,0.03,3,14,51,17,0.17,0.052,0.026,1.8,5,0.014,0.036,0.177,0.011,0.05,212,61,0.08,0.1,3,0.3,2.009,1.658,0.497,14
01108,MILK INDIAN BUFFALO FLUID,83.39,97,3.75,6.89,0.79,5.18,0,,169,0.12,31,117,178,52,0.22,0.046,0.018,,2.3,0.052,0.135,0.091,0.023,0.36,178,53,,,,,4.597,1.787,0.146,19
01109,MILK SHEEP FLUID,80.7,108,5.98,7,0.96,5.36,0,,193,0.1,18,158,137,44,0.54,0.046,0.018,1.7,4.2,0.065,0.355,0.417,0.06,0.71,147,44,,,,,4.603,1.724,0.308,27
01110,MILK SHAKES THICK CHOC,72.2,119,3.05,2.7,0.9,21.15,0.3,20.85,132,0.31,16,126,224,111,0.48,0.065,0.039,1.9,0,0.047,0.222,0.124,0.025,0.32,67,18,0.05,1,41,0.2,1.681,0.78,0.1,11
01111,MILK SHAKES THICK VANILLA,74.45,112,3.86,3.03,0.91,17.75,0,17.75,146,0.1,12,115,183,95,0.39,0.051,0.014,2.3,0,0.03,0.195,0.146,0.042,0.52,91,25,0.05,1.2,48,0.2,1.886,0.875,0.113,12
01112,WHEY ACID FLUID,93.42,24,0.76,0.09,0.61,5.12,0,5.12,103,0.08,10,78,143,48,0.43,0.003,0.002,1.8,0.1,0.042,0.14,0.079,0.042,0.18,7,2,0,,,0,0.057,0.025,0.004,1
01113,WHEY ACID DRIED,3.51,339,11.73,0.54,10.77,73.45,0,73.45,2054,1.24,199,1349,2289,968,6.31,0.05,0.015,27.3,0.9,0.622,2.06,1.16,0.62,2.5,59,17,0,0,0,0,0.342,0.149,0.021,3
